index,name,artist,release_date,length,popularity,danceability
983,Up On Cripple Creek - Remastered 2000,The Band,1969,4.58155,42,0.72
984,Brown Eyed Handsome Man,Chuck Berry,1957,2.2851,39,0.515
985,Left of the Dial - 2008 Remaster,The Replacements,1985,3.719766667,37,0.264
986,Heartbreaker,Pat Benatar,1979,3.489333333,60,0.466
987,So Lonely,The Police,1978,4.826433333,65,0.541
988,If You Could Only See,Tonic,1996,4.35865,65,0.433
989,The Loco-Motion - Single Version,Various Artists,1963,2.4771,47,0.636
990,Just Like Honey,The Jesus and Mary Chain,1985,3.04155,64,0.341
991,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,1990,5.587333333,65,0.55
992,Doll Parts,Hole,1994,3.532666667,60,0.245
993,Even Better Than The Real Thing,U2,1991,3.68955,50,0.505
994,Sunny Afternoon - Mono Mix,The Kinks,1966,3.50875,67,0.595
995,Give Peace A Chance - 2010 Remaster,Various Artists,2020,4.84155,7,0.449
996,Drops of Jupiter (Tell Me),Train,2001,4.332216667,78,0.468
997,You Could Be Mine,Guns N' Roses,1991,5.727333333,69,0.35
998,Baby Love,The Supremes,1964,2.634,68,0.595
999,Sex Type Thing - 2017 Remaster,Stone Temple Pilots,1992,3.630216667,59,0.404
1000,What's Up?,4 Non Blondes,1992,4.92555,79,0.565
1001,Killing Me Softly with His Song,Roberta Flack,1973,4.782,73,0.477
1002,Layla (Eric Clapton - Instrumental Unplugged),Michael Marc,2010,3.7894,26,0.413
1003,Shapes of Things - 2015 Remaster,The Yardbirds,1964,2.432666667,44,0.432
1004,The Rock Show,blink-182,2001,2.86,67,0.41
1005,April Sun in Cuba,Dragon,1977,3.466,63,0.786
1006,Crawling In The Dark,Hoobastank,2001,2.920433333,65,0.57
1007,Fairytale of New York (In the Style Of 'The Pogues Featuring Kirsty Maccoll'),Boggle Karaoke,2010,4.053533333,12,0.402
1008,Duality,Slipknot,2004,4.210216667,77,0.354
1009,Rumble,Link Wray,2019,2.428433333,28,0.55
1010,Dead & Bloated,Various Artists,2018,5.1711,53,0.563
1011,Statesboro Blues - Live at Painters Mill Music Fair - 10-17-71,Allman Brothers Band,2020,5.018433333,31,0.244
1012,Squeeze Box,The Who,1975,2.690666667,47,0.627
1013,Rock and Roll Ain't Noise Pollution,AC/DC,1980,4.434,65,0.576
1014,Summer in the City - Remastered,The Lovin' Spoonful,1966,2.671766667,64,0.423
1015,Down By The Water - Demo,PJ Harvey,2020,3.098883333,31,0.772
1016,All I Want Is You,U2,1988,6.498883333,63,0.239
1017,The Song Remains the Same - 1990 Remaster,Led Zeppelin,1973,5.501766667,51,0.267
1018,I Shot The Sheriff - Live At The Roxy,Bob Marley & The Wailers,2003,6.558,56,0.727
1019,Can't Fight This Feeling,REO Speedwagon,1984,4.912883333,74,0.408
1020,Smooth Criminal,Alien Ant Farm,2001,3.487766667,74,0.653
1021,Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,1999,3.378883333,62,0.855
1022,Bastards of Young - 2008 Remaster,The Replacements,1985,3.634433333,50,0.438
1023,Jungle Love,Steve Miller Band,1977,3.126666667,54,0.495
1024,Bad Medicine,Bon Jovi,1988,5.278433333,68,0.555
1025,Green River,Creedence Clearwater Revival,1969,2.568666667,67,0.702
1026,Badlands,Bruce Springsteen,1978,4.040883333,58,0.609
1027,This Flight Tonight - 2010 - Remaster,Nazareth,1973,3.404433333,49,0.508
1028,Personality Crisis,New York Dolls,1973,3.691766667,52,0.429
1029,Welcome to the Black Parade,My Chemical Romance,2006,5.1851,77,0.217
1030,The Fixer,Pearl Jam,2009,2.959333333,56,0.515
1031,Thunder Kiss '65,White Zombie,1992,3.901333333,65,0.684
1032,Against The Wind,Bob Seger,1980,5.562,64,0.674
1033,Ride My See-Saw,The Moody Blues,1968,3.653766667,47,0.334
1034,Whiskey In The Jar,Metallica,1998,5.078216667,72,0.511
1035,For Whom The Bell Tolls - Live,Metallica,2020,4.610666667,40,0.276
1036,Stagger Lee,Lloyd Price,1994,2.416,48,0.396
1037,Eyes Without A Face,Billy Idol,1983,4.987333333,68,0.391
1038,We Are Family,Sister Sledge,1979,3.612216667,70,0.784
1039,Breakfast At Tiffany's,Deep Blue Something,1995,4.28955,68,0.622
1040,People Are People - 2006 Remaster,Depeche Mode,1984,3.868,52,0.679
1041,Lips Like Sugar,Echo & the Bunnymen,1987,4.864433333,52,0.552
1042,Streets of Philadelphia - Single Edit,Bruce Springsteen,1995,3.251333333,73,0.741
1043,Just Like You,Three Days Grace,2007,3.114883333,61,0.373
1044,Bandages,Hot Hot Heat,2002,3.538883333,49,0.376
1045,Birdhouse in Your Soul,They Might Be Giants,1990,3.315333333,58,0.61
1046,Rag Doll,Aerosmith,1987,4.428216667,60,0.579
1047,Thick as a Brick (Pt. I) - 1997 Remaster,Jethro Tull,1972,22.6671,47,0.435
1048,Civil War,Guns N' Roses,1991,7.70155,68,0.336
1049,Elevation,U2,2000,3.7771,59,0.578
1050,The Sound of Winter - Live,Bush,2020,5.085633333,21,0.411
1051,Welcome Home (Sanitarium) - Remastered,Metallica,1986,6.452433333,59,0.306
1052,Freewill,Rush,1980,5.363333333,56,0.485
1053,How Many More Times - 1993 Remaster,Led Zeppelin,1969,8.466666667,53,0.322
1054,Only Women Bleed,Alice Cooper,1975,3.51555,48,0.334
1055,Bound For The Floor,Local H,2011,3.720216667,49,0.627
1056,Thirteen,Big Star,1972,2.577766667,53,0.457
1057,Be Yourself,Audioslave,2005,4.64955,70,0.423
1058,Golden Slumbers / Carry That Weight - Takes 1-3 / Medley,The Beatles,2019,3.341766667,41,0.561
1059,Rip It Up,Little Richard,1957,2.356666667,52,0.895
1060,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,1975,3.285766667,73,0.737
1061,Rikki Don't Lose That Number,Steely Dan,1974,4.518216667,62,0.656
1062,Down by the River - 2009 Remaster,Neil Young,1969,9.3031,60,0.465
1063,Dig,Incubus,2006,4.28755,61,0.45
1064,"It's A Man's, Man's, Man's World",James Brown,1991,2.784433333,52,0.646
1065,What's Your Name,Lynyrd Skynyrd,1977,3.554433333,53,0.646
1066,Brick House,Commodores,1977,3.48155,65,0.831
1067,Tomorrow Never Knows - Remastered 2009,The Beatles,1966,2.992433333,57,0.38
1068,Everyday,Buddy Holly,2018,2.294216667,22,0.594
1069,Girls,Beastie Boys,1986,2.211766667,58,0.873
1070,Aeroplane,Red Hot Chili Peppers,1995,4.7511,63,0.639
1071,Hurt,Nine Inch Nails,1994,6.26555,58,0.49
1072,No More Mr. Nice Guy,Alice Cooper,1973,3.13155,60,0.498
1073,Cum on Feel the Noize,Quiet Riot,1996,4.79,67,0.441
1074,Le Freak,CHIC,1978,5.45955,1,0.867
1075,Smoke Two Joints,Sublime,1992,2.890433333,62,0.761
1076,Broken - Originally Performed By Seether Ft. Amy Lee,B the Star,2011,4.449,4,0.526
1077,Walk Away,James Gang,1971,3.5449,57,0.6
1078,Miss Murder,AFI,2006,3.4431,70,0.308
1079,Don't Let the Sun Go Down on Me,George Michael,1998,5.780216667,65,0.435
1080,Michelle - Remastered 2009,The Beatles,1965,2.706216667,66,0.578
1081,Gold Dust Woman - 2004 Remaster,Fleetwood Mac,1977,4.9271,60,0.666
1082,One Way Or Another,Blondie,1978,3.622733333,57,0.442
1083,Ten Years Gone - 1990 Remaster,Led Zeppelin,1975,6.523333333,58,0.544
1084,Never Too Late,Three Days Grace,2006,3.488883333,69,0.433
1085,Wichita Lineman - Remastered 2001,Glen Campbell,1968,3.103333333,63,0.192
1086,Still of the Night,Various Artists,2020,6.629466667,4,0.357
1087,Monkey Man,The Rolling Stones,1969,4.190883333,55,0.406
1088,Mercy Mercy Me (The Ecology),Marvin Gaye,1971,3.274433333,61,0.499
1089,(If You're Wondering If I Want You To) I Want You To,Weezer,2009,3.47955,41,0.695
1090,Feel Good Drag,Anberlin,2008,3.130883333,58,0.49
1091,Cumbersome,Seven Mary Three,1995,3.94955,64,0.543
1092,What Would You Say,Dave Matthews Band,1994,3.70555,52,0.639
1093,Forty Six & 2,TOOL,1996,6.0511,67,0.375
1094,Wasting My Time,Default,2001,4.488433333,60,0.449
1095,Missing - Todd Terry Remix / Radio Edit,Everything But The Girl,2002,3.9171,56,0.739
1096,Call Me The Breeze,Lynyrd Skynyrd,1974,5.162883333,59,0.271
1097,Handle With Care,Traveling Wilburys,1988,3.326433333,64,0.676
1098,Papa Was A Rollin' Stone - Single Version,The Temptations,2000,6.994,67,0.817
1099,Big Me,Foo Fighters,1995,2.214,61,0.579
1100,Tequila,The Champs,1994,2.254,59,0.671
1101,Fade Into You,Mazzy Star,1993,4.926666667,72,0.42
1102,Never There,Cake,1998,2.737766667,60,0.761
1103,Polly,Nirvana,1991,2.89755,58,0.83
1104,Let My Love Open The Door,Pete Townshend,1980,2.744216667,59,0.651
1105,Awake,Godsmack,2000,5.072883333,66,0.395
1106,Suzanne,Leonard Cohen,1967,3.82155,65,0.409
1107,The River,Bruce Springsteen,1980,5.025766667,67,0.587
1108,Lifestyles of the Rich & Famous,Good Charlotte,2002,3.16955,69,0.62
1109,My Friends,Red Hot Chili Peppers,1995,4.144,62,0.439
1110,Back In the Saddle,Aerosmith,1976,4.672666667,58,0.426
1111,Just My Imagination (Running Away With Me),Various Artists,2020,3.775333333,4,0.439
1112,Nutshell,Alice In Chains,1994,4.32,69,0.384
1113,Beautiful Disaster,Jon McLaughlin,2007,4.194,52,0.432
1114,Ain't No Sunshine,Bill Withers,1971,2.084883333,77,0.479
1115,Got the Life,Korn,1998,3.7551,68,0.501
1116,The Scientist,Coldplay,2002,5.16,84,0.557
1117,Somewhere Out There,Our Lady Peace,2002,4.188883333,56,0.388
1118,Hair of the Dog - 2010 - Remaster,Nazareth,1975,4.18555,53,0.633
1119,Home By The Sea - Remastered 2007,Genesis,1983,5.13,51,0.604
1120,You're All I've Got Tonight,The Cars,1978,4.2451,50,0.583
1121,Wicked Garden,Stone Temple Pilots,1992,4.088,50,0.21
1122,Dreamer,Supertramp,1974,3.553933333,59,0.664
1123,Never Tear Us Apart,INXS,1987,3.0949,59,0.665
1124,"You're Gonna Go Far, Kid",The Offspring,2008,2.963766667,79,0.55
1125,Back Door Man,The Doors,1967,3.540433333,54,0.476
1126,Are You Ready,AC/DC,1990,4.172216667,63,0.452
1127,China Girl - 1999 Remaster,David Bowie,1983,5.554433333,0,0.626
1128,YYZ,Rush,1981,4.430666667,58,0.51
1129,Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John,1973,4.924433333,66,0.513
1130,Happy Jack,The Who,1971,2.213333333,41,0.556
1131,Wouldn't It Be Nice - Stereo Mix,The Beach Boys,1966,2.553416667,71,0.392
1132,No Excuses,Alice In Chains,1994,4.25955,65,0.527
1133,Mudshovel,Various Artists,2020,4.69555,1,0.485
1134,Policy of Truth - 2006 Remaster,Depeche Mode,1990,4.900666667,58,0.678
1135,The Twist,Chubby Checker,2005,2.562666667,56,0.533
1136,Hero Of The Day,Metallica,1996,4.36155,50,0.351
1137,See Emily Play,Pink Floyd,1971,2.896666667,50,0.456
1138,Bad Reputation,Joan Jett & The Blackhearts,1981,2.819766667,66,0.378
1139,The Pusher,Steppenwolf,1968,5.8411,55,0.467
1140,Long Distance Runaround - 2003 Remaster,Yes,1971,3.504433333,47,0.625
1141,Everyday Is Like Sunday - 2011 Remaster,Morrissey,1988,3.587766667,61,0.6
1142,Journey To The Center of the Mind,The Amboy Dukes,1968,3.59065,41,0.32
1143,Follow You Follow Me - Remastered 2007,Genesis,1978,4.016516667,62,0.531
1144,(What A) Wonderful World,Sam Cooke,2000,2.090666667,72,0.691
1145,30 Days In The Hole,Humble Pie,1972,3.954433333,52,0.605
1146,Higher Than the Sun - Single Mix,Primal Scream,1991,3.63955,27,0.468
1147,Black Betty - Edit,Spiderbait,2004,3.432883333,63,0.562
1148,Sure Shot,Beastie Boys,1994,3.327766667,57,0.692
1149,Searchin',The Coasters,2005,2.658216667,41,0.776
1150,Matchbox,Carl Perkins,1957,2.130783333,40,0.524
1151,Jesus Christ Pose,Soundgarden,1991,5.856,47,0.341
1152,The Dolphin's Cry,Live,1999,4.402666667,57,0.342
1153,The Court Of The Crimson King,King Crimson,1969,10.04216667,55,0.339
1154,Great Southern Land,Various Artists,2020,5.287333333,33,0.719
1155,I Got You Babe,Sonny & Cher,1991,3.230666667,58,0.621
1156,First Time,Finger Eleven,2000,4.44,37,0.37
1157,Are You Lonesome Tonight,Elvis Presley,1963,3.1171,57,0.355
1158,DOWN,HENTAI SHINSHI CLUB,2020,3.93725,49,0.457
1159,I Just Want You,Ozzy Osbourne,1995,4.935333333,52,0.252
1160,Splish Splash,Bobby Darin,1958,2.195316667,60,0.645
1161,Picasso Visita El Planeta De Los Simios,Adam & The Ants,2004,3.482883333,25,0.601
1162,Ana's Song (Open Fire) - Acoustic Re-Mix,Silverchair,2000,3.844433333,43,0.387
1163,Angel Of Harlem,U2,1988,3.8211,59,0.519
1164,Peaceful Easy Feeling - 2013 Remaster,Eagles,1972,4.299366667,66,0.568
1165,Misirlou,Dick Dale,2010,2.268216667,43,0.293
1166,Take Me to the River - 2005 Remaster,Talking Heads,1978,5.042,59,0.66
1167,Dirty Laundry,Don Henley,1982,5.613333333,60,0.756
1168,You Keep Me Hangin' On,Vanilla Fudge,2004,2.992883333,52,0.206
1169,Lady Marmalade,Patti LaBelle,1982,3.9211,57,0.571
1170,Speedoo,Various Artists,2013,2.359716667,35,0.489
1171,Sing,Travis,2001,3.813333333,68,0.33
1172,New York State of Mind,Billy Joel,1976,6.04,62,0.506
1173,Never Let Me Down Again - 2006 Remaster,Depeche Mode,1987,4.84155,53,0.581
1174,High Hopes,Pink Floyd,1994,8.516066667,60,0.52
1175,Tunnel of Love,Bruce Springsteen,1987,5.162666667,47,0.587
1176,Shape Of My Heart,Sting,1993,4.653766667,73,0.537
1177,Thank You (Falettinme Be Mice Elf Agin) - Single Version,Sly & The Family Stone,2002,4.7971,55,0.899
1178,Chantilly Lace,The Big Bopper,1958,2.4211,56,0.489
1179,Undun,The Guess Who,1971,3.438433333,43,0.559
1180,Lodi,Creedence Clearwater Revival,1969,3.22155,61,0.773
1181,Friend of the Devil,Grateful Dead,1970,3.364433333,64,0.642
1182,I Wanna Be Somebody,W.A.S.P.,1984,3.72555,61,0.285
1183,Tupelo Honey,Van Morrison,2015,6.917333333,63,0.569
1184,Too Bad,Nickelback,2001,3.870666667,58,0.598
1185,So Far Away - Full Version,Dire Straits,1985,5.146666667,65,0.698
1186,Road to Nowhere,Talking Heads,1985,4.318433333,56,0.661
1187,Peg,Steely Dan,1977,4.004883333,59,0.797
1188,Love Of My Life - Remastered 2011,Queen,1975,3.623333333,59,0.331
1189,We Are Young,Various Artists,2014,4.194433333,21,0.535
1190,Torn,Natalie Imbruglia,1998,4.077766667,65,0.575
1191,Freeway Jam,Jeff Beck,1975,4.977766667,41,0.409
1192,Private Dancer - 2015 Remaster,Tina Turner,1984,7.23955,58,0.587
1193,Down In The Tube Station At Midnight - Full Version,The Jam,1978,4.718216667,39,0.284
1194,Phlex,Blindspott,2003,4.50555,47,0.682
1195,Rosanna,TOTO,1982,5.52,72,0.365
1196,Seether,Veruca Salt,1994,3.276216667,53,0.612
1197,Telephone Line,Electric Light Orchestra,1976,4.672666667,62,0.467
1198,Hang On,Teenage Fanclub,1993,5.09,21,0.281
1199,Every Picture Tells A Story,Rod Stewart,1971,5.99555,48,0.546
1200,Get Free,The Vines,2002,2.10955,61,0.502
1201,Scenes from an Italian Restaurant,Billy Joel,1977,7.614883333,60,0.415
1202,Happiness Is A Warm Gun - Remastered 2009,The Beatles,1968,2.742433333,57,0.431
1203,Rough Boys,Pete Townshend,1980,4.058666667,42,0.277
1204,Stay - 2018 Remaster,Jackson Browne,1977,3.407733333,63,0.603
1205,Babe I'm Gonna Leave You - 1990 Remaster,Led Zeppelin,1969,6.684433333,63,0.404
1206,Cape Cod Kwassa Kwassa,Vampire Weekend,2008,3.578433333,50,0.853
1207,Good Times,Finger Eleven,2003,3.92555,44,0.498
1208,Vitamin R (Leading Us Along),Chevelle,2004,3.716733333,56,0.481
1209,Middle of the Road - 2007 Remaster,Pretenders,1984,4.238216667,50,0.488
1210,Hodja,Todd Rundgren,1985,3.417766667,15,0.654
1211,Plowed,Sponge,2011,3.408333333,49,0.355
1212,Albert Flasher - Single Version,The Guess Who,1971,2.45555,29,0.6
1213,Girl's Not Grey,AFI,2003,3.174883333,59,0.389
1214,Beth,KISS,1976,2.7611,61,0.387
1215,Party Hard,Andrew W.K.,2001,3.081766667,58,0.461
1216,"Hot Stuff - 12"" Version",Donna Summer,1979,6.784216667,66,0.796
1217,I Stand Alone,Godsmack,2003,4.100666667,68,0.217
1218,Slow Hands,Interpol,2004,3.066216667,53,0.243
1219,Your Wildest Dreams,The Moody Blues,1986,4.85,54,0.534
1220,Idioteque,Radiohead,2000,5.15155,59,0.615
1221,Simple Man,Lynyrd Skynyrd,1973,5.943766667,70,0.422
1222,This Love,Maroon 5,2002,3.436666667,79,0.712
1223,Notion,Kings of Leon,2008,3.014,59,0.433
1224,I Try,Macy Gray,1999,3.990666667,72,0.593
1225,In The Mood,Rush,1974,3.564216667,36,0.597
1226,Paradise,Coldplay,2011,4.645316667,80,0.449
1227,Eight Days A Week - Remastered 2009,The Beatles,1964,2.726666667,65,0.652
1228,Ain't Nobody,Rufus,1983,4.75955,62,0.808
1229,Heaven,Bryan Adams,1984,4.056,77,0.382
1230,Rock with You - Single Version,Michael Jackson,1979,3.6771,73,0.808
1231,I Write Sins Not Tragedies,Panic! At The Disco,2005,3.0931,73,0.566
1232,Bitch - Live,The Rolling Stones,2020,3.4611,38,0.376
1233,The Adventure,Angels & Airwaves,2006,5.208883333,51,0.543
1234,Wasted Years - 2015 Remaster,Iron Maiden,1986,5.160666667,64,0.314
1235,I'm Just A Singer (In A Rock And Roll Band),The Moody Blues,1972,4.2971,44,0.271
1236,Mother's Little Helper,The Rolling Stones,1966,2.748216667,54,0.582
1237,Devil with a Blue Dress On / Good Golly Miss Molly (Medley),Mitch Ryder and The Detroit Wheels,1990,3.51275,28,0.613
1238,"Temptation - 7"" Version; 2015 Remaster",New Order,2005,5.406883333,49,0.775
1239,Story of My Life,Social Distortion,1990,5.772216667,61,0.328
1240,After the Gold Rush,Neil Young,1970,3.766216667,55,0.473
1241,Hey You,Bachman-Turner Overdrive,1975,3.60955,44,0.49
1242,Tongue Tied,Grouplove,2011,3.63355,82,0.56
1243,More Than Words,Extreme,1990,5.568433333,66,0.626
1244,We Gotta Get Out Of This Place,The Angels,1986,4.664433333,50,0.503
1245,Tuesday Afternoon (Forever Afternoon),The Moody Blues,2017,4.150066667,53,0.503
1246,Joe's Garage,Frank Zappa,1979,6.150433333,50,0.604
1247,Atlantic City,Bruce Springsteen,1982,3.944216667,56,0.475
1248,Back In The U.S.A.,Chuck Berry,1962,2.448216667,39,0.592
1249,Keep The Faith,Bon Jovi,1992,5.77555,58,0.569
1250,Nearly Lost You,Screaming Trees,1992,4.118216667,55,0.166
1251,Lying from You,Linkin Park,2003,2.922883333,64,0.535
1252,Run To Paradise,Various Artists,2009,4.821766667,16,0.675
1253,Rock N Roll Train,AC/DC,2008,4.358433333,70,0.547
1254,Godzilla,Blue Öyster Cult,1977,3.69,64,0.373
1255,Girls on Film - 2010 Remaster,Duran Duran,1981,3.54755,61,0.725
1256,Hyperballad,Björk,2002,5.392216667,30,0.508
1257,Albatross,Big Wreck,2012,4.247766667,24,0.303
1258,Bad Side of the Moon,April Wine,1989,3.184216667,38,0.561
1259,Carol,Chuck Berry,1959,2.81,42,0.637
1260,I Remember You,Skid Row,1989,5.228216667,68,0.345
1261,Spiders,System Of A Down,1998,3.590666667,65,0.46
1262,Another Day in Paradise - 2016 Remaster,Phil Collins,1989,5.368883333,74,0.78
1263,Dry the Rain,The Beta Band,1998,6.113766667,59,0.593
1264,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,1968,4.0671,76,0.606
1265,The Right Time,Ray Charles,2007,3.3271,43,0.617
1266,Loaded - Remastered,Primal Scream,2019,4.398666667,54,0.546
1267,Waiting On A Friend - Remastered 2009,The Rolling Stones,2020,4.570433333,25,0.611
1268,Snuff,Slipknot,2008,4.602433333,69,0.544
1269,Lean on Me,Bill Withers,1972,4.3139,71,0.619
1270,Stone Cold Crazy - Remastered 2011,Queen,1974,2.230216667,47,0.427
1271,Aces High - 2015 Remaster,Iron Maiden,1984,4.531766667,62,0.3
1272,One Love / People Get Ready - Medley,Bob Marley & The Wailers,1977,2.882216667,72,0.725
1273,You've Got Another Thing Coming,Judas Priest,1982,5.168,66,0.519
1274,Time to Pretend,MGMT,2007,4.35,72,0.438
1275,Jaded,Aerosmith,2001,3.572216667,61,0.517
1276,Hanging By A Moment,Lifehouse,2000,3.6011,65,0.541
1277,Nowhere Man - Remastered 2009,The Beatles,1965,2.728216667,63,0.534
1278,The Lamb Lies Down on Broadway - New Stereo Mix,Genesis,1974,4.906,38,0.379
1279,Both Sides Now,Joni Mitchell,2000,5.756666667,65,0.258
1280,The Boys Light Up - Remastered,Australian Crawl,1980,4.6911,62,0.619
1281,Ride On,AC/DC,1976,5.837766667,56,0.73
1282,The Lemon Song - 1993 Remaster,Led Zeppelin,1969,6.3271,53,0.409
1283,How Deep Is Your Love (Bee Gees),Michael Marc,2010,4.363516667,30,0.736
1284,Working Man,Rush,1974,7.166216667,61,0.202
1285,Out Of Exile,Audioslave,2005,4.808433333,49,0.414
1286,Let's Groove,"Earth, Wind & Fire",1981,5.655333333,73,0.869
1287,The Stroke - Remastered,Billy Squier,1981,3.626883333,66,0.67
1288,Papercut,Linkin Park,2000,3.0811,72,0.524
1289,Europa (Earth's Cry Heaven's Smile),Santana,2007,5.0991,58,0.296
1290,We're Not Gonna Take It,The Who,1969,7.102266667,34,0.445
1291,Time Is On My Side - Mono Version,The Rolling Stones,1965,2.98555,53,0.508
1292,She's Lost Control - 2007 Remaster,Joy Division,1979,3.950216667,60,0.485
1293,High Voltage,AC/DC,1976,4.236666667,61,0.561
1294,Cowgirl in the Sand - 2009 Remaster,Neil Young,1969,10.11133333,49,0.29
1295,Midnight City,M83,2011,4.066,76,0.507
1296,Gold Lion,Yeah Yeah Yeahs,2006,3.118883333,52,0.521
1297,Soul Meets Body,Death Cab for Cutie,2005,3.848433333,57,0.63
1298,Kiss Off,Violent Femmes,1983,2.945333333,55,0.661
1299,Let's Go Crazy,Prince,1984,4.666666667,62,0.309
1300,2 Minutes to Midnight - 2015 Remaster,Iron Maiden,1984,6.059766667,64,0.446
1301,Theme From Shaft - Album - Remastered,Isaac Hayes,1971,4.653333333,51,0.487
1302,Innocent,Our Lady Peace,2002,3.707766667,55,0.393
1303,Buffalo Soldier,Bob Marley & The Wailers,1983,4.264,71,0.929
1304,Add It Up,Violent Femmes,1983,4.738883333,56,0.41
1305,The Diary of Jane - Single Version,Breaking Benjamin,2006,3.342433333,64,0.392
1306,I Bet You Look Good On The Dancefloor,Arctic Monkeys,2006,2.894666667,59,0.535
1307,My Happiness,Powderfinger,2000,4.610433333,64,0.445
1308,Holy Grail,Hunters & Collectors,2003,3.824883333,38,0.65
1309,Breathe (In the Air),Pink Floyd,1973,2.825566667,69,0.431
1310,Moonage Daydream - 2012 Remaster,David Bowie,1972,4.66155,67,0.561
1311,6 Underground,Sneaker Pimps,1996,3.814,51,0.587
1312,All I Wanna Do,Sheryl Crow,1993,4.5351,67,0.82
1313,Thriller,Michael Jackson,2017,5.96755,72,0.764
1314,Fire and Rain - 2019 Remaster,James Taylor,1970,3.39355,73,0.597
1315,Total Eclipse of the Heart,Bonnie Tyler,2009,4.456,77,0.431
1316,As Tears Go By - Mono Version,The Rolling Stones,1965,2.75355,54,0.331
1317,The Unforgettable Fire - Remastered 2009,U2,1984,4.9,47,0.431
1318,Bow River - 2011 Remastered,Cold Chisel,1982,4.390533333,54,0.28
1319,Voodoo,Godsmack,1998,4.710883333,65,0.778
1320,The Freshmen,The Verve Pipe,1996,4.4911,63,0.571
1321,Abacab - 2007 Remaster,Genesis,1981,6.9691,46,0.702
1322,All The Right Moves,OneRepublic,2009,3.966666667,65,0.529
1323,Jumper - 1998 Edit,Third Eye Blind,1997,4.54955,67,0.599
1324,You're a Lie,Slash,2012,3.8151,37,0.482
1325,Dumb,Nirvana,1993,2.53155,64,0.697
1326,Hysteria,Def Leppard,1987,5.9106,68,0.659
1327,The Battle of Evermore - Remaster,Led Zeppelin,1971,5.861283333,49,0.42
1328,Rapper's Delight - Single Version,The Sugarhill Gang,2010,3.930666667,62,0.917
1329,Casimir Pulaski Day,Sufjan Stevens,2005,5.8991,58,0.686
1330,Across The Universe - Remastered 2009,The Beatles,1970,3.802216667,66,0.257
1331,Turn Me Loose,Loverboy,1980,5.632216667,58,0.588
1332,Anyway Anyhow Anywhere - Stereo Version,The Who,1965,2.732983333,32,0.306
1333,Roller - Remastered,April Wine,2002,4.3311,44,0.451
1334,Rainbow Dragon,Keiynan Lonsdale,2020,4.219183333,38,0.745
1335,Helena,My Chemical Romance,2004,3.412216667,73,0.356
1336,Cross-Eyed Mary,Jethro Tull,1971,4.17,51,0.575
1337,Come And Get It - Remastered 2010,Badfinger,1970,2.386883333,47,0.616
1338,Don't Let Me Be Misunderstood,The Animals,1987,2.428216667,56,0.546
1339,Walk of Life,Dire Straits,1985,4.207766667,62,0.461
1340,Bridge of Sighs - 2007 Remaster,Robin Trower,1974,5.028433333,49,0.359
1341,Dancing Barefoot,Patti Smith,1979,4.27555,60,0.492
1342,"Natural One [In the Style of ""Folk Implosion""]",Stingray Music,2011,2.983433333,11,0.677
1343,Talk Dirty To Me,Poison,1986,3.728883333,57,0.491
1344,Jesus of Suburbia,Green Day,2004,9.13755,66,0.3
1345,White Hot,Red Rider,1980,5.144,39,0.566
1346,Dissident (Remastered),Pearl Jam,1993,3.5831,55,0.267
1347,Play That Funky Music,Wild Cherry,1976,5,68,0.814
1348,Rusted From the Rain,Billy Talent,2009,4.221766667,64,0.436
1349,"One Way Out - Live At The Final Fillmore East Concert, 1971",Allman Brothers Band,1971,4.935766667,51,0.541
1350,The Good Life,Three Days Grace,2009,2.886216667,60,0.548
1351,Down In A Hole,Alice In Chains,1992,5.6371,63,0.359
1352,Touch Me I'm Sick,Mudhoney,2008,2.5451,39,0.354
1353,Don't Do Me Like That,Tom Petty and the Heartbreakers,1979,2.696433333,60,0.758
1354,My Girls,Animal Collective,2009,5.679766667,55,0.508
1355,In One Ear,Cage The Elephant,2009,4.022,59,0.326
1356,A Forest - 2006 Remaster,The Cure,1980,5.91555,54,0.633
1357,The World I Know,Collective Soul,1995,4.257766667,63,0.514
1358,Love Bites - Remastered 2017,Def Leppard,1987,5.782666667,65,0.59
1359,Super Freak,Rick James,1981,3.424433333,76,0.838
1360,Keep on Loving You,REO Speedwagon,1980,3.338216667,71,0.306
1361,The Last Fight,Velvet Revolver,2007,4.050883333,36,0.261
1362,Breath,Breaking Benjamin,2006,3.6411,64,0.347
1363,The Rover - 1993 Remaster,Led Zeppelin,1975,5.6151,55,0.367
1364,Black Sabbath,Black Sabbath,2017,6.288,30,0.344
1365,Twist My Arm,The Tragically Hip,1991,3.947333333,42,0.621
1366,Constant Craving,k.d. lang,2010,4.620666667,59,0.6
1367,God Gave Rock 'N' Roll To You II,KISS,1992,5.3371,55,0.444
1368,All Star,Smash Mouth,1999,3.33955,79,0.731
1369,At Last,Etta James,1960,2.994883333,75,0.274
1370,Bully,Shinedown,2012,4.045766667,58,0.519
1371,White Riot - Remastered,The Clash,1977,1.940666667,51,0.168
1372,Violet,Hole,1994,3.41555,59,0.287
